Time Stamp;Name;Message
-22:32;Cloudy;lilyBall
-21:50;Moonfall;Sadge
-21:34;TeotlEhecatl;o7
-20:58;ItsPronouncedGif;FeelsBadMan 
-20:13;xdhowllmao;o7
-19:12;Zerucos;drawing
-19:08;Zerucos;:_lilyComfy: 
-18:00;flovvie;whos lily going to japan with?
-16:29;Igor Mikuka;:sign_of_the_horns:
-16:04;TeotlEhecatl;@flovvie otv
-15:45;BTsensei;Ello ello
-13:24;jack lee;how do you sleep on long flights? I'm going on one 12+ hours this week and need helppp
-10:33;Nyfe;:_lilyAww:
-10:13;cyphissix;yo
-7:13;brian pham;is otv going back to japan?
-6:58;Moonfall;most of otv is already in jp
-6:50;brian pham;oh ok
-6:14;rawrjau;Sadge last stream 4evr
-5:58;Keanu Fredrick;YES
-5:28;Keanu Fredrick;They are going to Japan again and they did plan they were going again 
-5:26;Joe Li;Just saw the podcast with Poki. Great stuff! Keep it up.
-5:11;Keanu Fredrick;I can't wait to see their vods 
-5:11;Tae;time to reach gold? 
-4:56;Keanu Fredrick;Got it moongold
-4:41;Keanu Fredrick;I mean moonfall
-4:11;Keanu Fredrick;Japan is in my top list of going there 
-2:57;Tony Blank;XD 
0:17;Moonfall;Hello Lily
0:17;ZP;yo
0:17;Zerucos;Hi lily
0:22;jasimay;Wokege
0:23;TeotlEhecatl;hihihihihi
0:23;bingus;Hi lily
0:23;Moonfall;hope you are feeling better
0:25;Cloudy;ello
0:27;nothingsigh;no valo today?
0:27;S J;yo
0:28;Kazi;Hi
0:29;Nico;yoooo
0:29;Jillian Ramirez;hiii
0:31;khan22casual;heyo
0:33;oXdespairXo;hello ^^
0:35;Josh;Hi
0:37;Gurjot Singh;road to gold today??
0:38;Melt;Hi
0:38;STARS;oi
0:40;Greesama;Hello
0:40;Tiffany Is Love;hi lily! 
0:41;Aryan Deopa;hii
0:42;Thiccie_Streams;valo :eyes::eyes:
0:42;Andrew Wolfson;allo
0:42;Killua;japan when?
0:43;Alice :D;hiii
0:44;Eropland;accurate
0:45;Jorge Salas;Hola Lily :waving_hand: 
0:46;Sanath Kumar;hiii
0:47;Zeroooo;hi
0:49;Caliburn;@LilyPichu Hello
0:54;Grace YT;Japan??
0:58;Aryan Deopa;Who all are going to Japan with you??
0:59;nuggetlife;Halo lily
1:00;Nico;based
1:00;ItsPronouncedGif;hi hi
1:00;Ma Rin;draw Gold Logo
1:02;serj;Hey
1:04;jasimay;AAAA
1:05;Moonfall;Drink lots of water
1:05;ItsPronouncedGif;AAAA
1:07;estelle;monka
1:08;Cloudy;AAAA 
1:08;aathif;COPIUMTRAIN
1:09;LeucidBeanz;Mizqueef sent me 
1:09;Juan Diego;Hello Lily , I like your grinding adventure, playing valo ranking up
1:10;Andrew Wolfson;did you just go super saiyan?
1:12;Charlieee;AAAA
1:12;comficool;AAAA
1:14;Nikola uji ujke;Hello Lily and everyone in chat how is going
1:14;Dimitri;show your gorgeous face at least once today
1:17;Nagol37 ;Y
1:18;corvus;sleepy lily
1:19;Zerucos;oh no
1:20;Suvin S;Safe travels Lilyyy
1:20;Darkklaw;Hippity hoppity
1:26;Darkklaw;that's a nice 2d lily
1:27;Josh;Draw micheal a updated one
1:27;RedBlurr 1721;the mighty lily roar
1:28;Kelvin Charan;Drink water
1:29;Grace YT;AAAAA
1:31;Progreon;maybe not enough water? that happens to me sometimes
1:32;Silvino Dorantes Sanchez;You need water 
1:33;Aryan Deopa;Japan with who???
1:33;Zerucos;maybe a bit too much valo yesterday 
1:39;Juan Diego;try some wota
1:39;Caliburn;What you need is some Strawberry crepes 
1:39;RedBlurr 1721;what valo does to a mofo
1:40;NaxipTV;yo
1:40;Button_bud;Will you play subbautoca 
1:43;Funchi;What are you drawing?
1:46;Kari;hi lily
1:53;Bryant Azura Pang;why are you going to japan?
1:57;ItsPronouncedGif;coffee is bad for the heart
2:06;Nikola uji ujke;I hope you will be back for streaming Lily
2:09;LeucidBeanz;Classic 
2:09;mightier meteor;cool avatar
2:16;StreamElements;StreamElements bot running :robot:
2:19;ItsPronouncedGif;classic miz
2:22;Aryan Deopa;Will you stream in Japan??
2:24;BTsensei;Hi Lily!
2:36;Rezail Uhhh;Hello everyone
2:38;Zerucos;LuL 
2:39;Aaron Westbury;"""like"" this stream... stay safe in Japan, Lilypichu"
2:39;Cloudy;dms?
2:41;feetie;Despairge
2:43;Juan Diego;let's goo 
2:44;Zerucos;might as well
2:45;Progreon;time is not to be wasted!
2:45;estelle;is mizkif a valorant streamer pog
2:46;Nico;LUL
2:47;Edward Castaneda;Hello lily
2:54;Moonfall;Sadge
2:54;Cishi;!rank
2:56;aathif;Despairge
2:57;Nightbot;Main Acc: Silver 3, Alt Acc: Silver 1
3:01;Yunus;hii
3:01;Nyfe;oh this fugi is perfect
3:01;Rezail Uhhh;Oh joy I can spam heart button
3:03;Juan Diego;coffe everyday is too much , it's better taking a smoll nap 
3:03;Daniel Berrios;will you play omega striker some time soon?
3:04;Nikola uji ujke;How is everyone doing today
3:04;Roni Skillz;:red_heart::red_heart::red_heart: already missing you queenie 
3:04;AlarminglyEnthustiasticMetallhead;I had an argument talking about what's the optimal way of eating fries with ketchup, IT DOESN'T MATTER!
3:05;Yui;are you graduat
3:08;RedBlurr 1721;This fugi is dope
3:09;Killua;hey chat what's the time where lily is?
3:10;jasimay;Despairge
3:10;TwilightSaika;!rank
3:10;just some guy;sage
3:10;Zeroooo;Fr
3:12;aathif;podcast was 10/10 btw
3:15;Roni Skillz;Gold ? 
