Time Stamp;Name;Message
-0:31;DMAN109;its late
-0:30;Xzuli;"LATE 3;06"
-0:30;Dragonslayer;loser
-0:29;G Down;bro late wow
-0:29;Unknownmemesuser;Among us gang
-0:29;blue bryce;late
-0:28;Zach Caston;Lateee
-0:25;Sclerotic;k
-0:25;Jean-Benoit Baby;yo wake up bro u gone b l8
-0:25;Finn Potato;LATE LATE LATE
-0:24;DMAN109;6 late
-0:24;Sporkny;Late
-0:24;void;LATEEIG
-0:23;Clayton Stewart;this doesnt look like valorant diamond grind
-0:23;John Evankovich;LATE
-0:23;WowPlays;late
-0:21;Unknownmemesuser;Among us gang
-0:20;C;late wig 
-0:20;TJL0L;Late
-0:19;KingBread;hes LATE
-0:19;Ozzy Bani;o7 
-0:17;Micah Miller;peepoHey everyoneee
-0:17;John Evankovich;L
-0:16;Kazi;watch him delay the stream 25 minutes
-0:15;Anthony Oatmeal;LATEEEEEE
-0:15;ukasz Klonowski;:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:
-0:14;Jake Editz;He is so late 
-0:14;Not that funny;My latey
-0:14;G Down;late poser
-0:12;lauritz Jensen;Late
-0:12;Unknownmemesuser;Among us gang
-0:12;WindowsVista;Late
-0:11;IK_Knight;LATE
-0:11;C;4.99m wig
-0:10;John Evankovich;L
-0:10;Jean-Benoit Baby;l8er sk8er
-0:09;Chippy;i bet hes at his computer right now and just choosing not to start 
-0:09;Scorpio_Sed88;Latwig shame 
-0:08;FracturedFungi;lol i just got here no shot
-0:07;Kibi ;maybe coots did it
-0:07;TJL0L;LATELATELATELAT
-0:07;DMAN109;late lud
-0:06;chikin likin;L STREAM
-0:06;gojo_fan;late
-0:03;WindowsVista;:body-green-covering-eyes:
-0:02;Mike Master Animation;late
-0:02;Unknownmemesuser;Among us gang Among us gang
-0:02;lauritz Jensen;L
-0:02;Jean-Benoit Baby;late 
0:01;April;about to hit 5m
0:02;Alex Smith;L
0:02;C;i know his ass reading chat
0:03;Finn Potato;LATEEEEE
0:03;IK_Knight;LATEEEEEEE
0:04;SH moose;i thought he was doing valorant 
0:04;Unknownmemesuser;Among us gang
0:04;SirBrave;LAATE
0:05;Dragonslayer;L
