Time Stamp;Name;Message
-4:36;M;also @macaaroniie I hope you feel bettet
-4:31;Synallis;@macaaroniee :_sykPat: feel better soon mac
-4:25;macaaroniee;aww thanks everyone yall are the best:_sykHapp::_sykHeart:
-4:01;;@deej purrfect...
-3:52;Jesscdc;Hey Macaaroniee!!
-3:44;poppy;:seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling::seedling:
-3:40;;@macaaroniee sykpat
-3:27;M;surely yuno will fix everything
-3:22;Bobby x;:_sykWavee::_sykSusge:
-3:17;Nevah Lucky;ima still be here chat but IÅfll be lurkin on RL
-3:14;Ashy Washy;Surely..
-2:59;Suu;Oh heey ~ 
-2:53;brefix_;Hey yÅfall!
-2:45;RKv5;welcome in those just joining :_sykWavee: 
-2:41;l. r. fds;@Abby Blackshire ahh u always remind me:_sykHack: noice
-2:34;Gyugyu;hello
-2:15;Nevah Lucky;lol have a COPIUM day
-2:15;p0larBear;helloooo chattt<333
-2:10;dishana;hiiiiiii chat
-2:02;Suu;:_sykWave:
-1:55;firere jesus;LATE KUNO I LOVE YOUR CONTENT
-1:50;Devoid  ;Welcome in sprouts !! :_sykWave::_sykHeart:
-1:45;Beanie;heya chat :_sykWave:
-1:41;M;"my brain has so much sykkuno exposure anytime I see ""surely"" ""oh god"" ""oh jesus"" ""you know how it is"" my brain hears sykkuno saying them"
-1:32;Abby Blackshire;@l.r.fds Oh
-1:27;Jesscdc;Hi everyone!
-1:22;;@M same...
-1:19;Abby Blackshire;@l.r.fds no problem!
-1:15;Ashy Washy;Fair enough
-1:14;Mintae;@M same :_sykDerp:
-1:12;Abby Blackshire;:_sykLights::_sykLights::_sykLights::_sykLights::_sykLights:
-0:57;Suu;@M is rent free :face_with_tears_of_joy:
-0:57;Synallis;round 2 :_sykANGR: peepoSitspin
-0:55;btx_blades;Good luck saving the bois today! Maybe that is why his name is YUNO: Yuno's Uniting Never-failing Objective, to get CB back together as FEMLY
-0:47;RKv5;okay surely this is the run peepositspin
-0:45;l. r. fds;:_sykHeart:
-0:41;yuying;HII
-0:40;Mintae;peepoSitSpin weeee
-0:36;Abby Blackshire;GET YER SNACKIES (AND COPIUM) READY BEFORE THE STREAM STARTS:_sykStek::_sykSip::_sykShrimp:
-0:30;broketeacup;peepoSitSpin
-0:28;joshk0sh;Only Up time KEKW
-0:25;Adelover;peepoSitspin
-0:18;Ashy Washy;Surely..
-0:16;Xavier;hello chat
-0:14;Nevah Lucky;Peeepositspin 
-0:10;M;I am dumb what's COPIUM?
-0:07;p0larBear;:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
-0:07;;i'll have to watch the vod... bad internet... sadge
-0:01;B S;Chello hat
-0:00;Synallis;:_sykLights::_sykLights::_sykLights:
0:04;Jeffrey O'Gara;I really do hope will finally save the bois one dayÅc. sadge
0:05;In Via Vertiti Pervia;I hope he plays only up first :_sykPeek:
0:06;Devoid  ;:_sykLights::_sykLights::_sykLights:
0:08;l. r. fds;4 min:maple_leaf:
0:08;Rohma;WOOO
0:08;Suu;Hopefully ~
0:09;Jesscdc;I have to grocery shopping so IÅfll miss first part D: but be back later 
0:12;Gail2day;WOOO
0:12;l. r. fds;oh
0:12;M;oh
0:12;ken ar;YOOOOO
0:13;Big Chungoose;Pog
0:14;Hustler Harder;WOOOO
0:15;RKv5;ITS TIME :_sykLights: 
0:15;Oruu_1;woooo
0:17;Adelover;HES HERE vibe
0:17;ken ar;WE'RE LIVEEE
0:18;michael;:_sykHeart::_sykHeart::_sykHeart::_sykHeart:
0:20;Arkane;Pog
0:20;mikanoke;woo
0:20;Mintae;WOOOOOOO
0:20;l. r. fds;:_sykLights::_sykLights::_sykLights:
0:21;Ornlad;:_sykLights::_sykLights::_sykLights:
0:21;;woooo
0:21;Devoid  ;Pog
0:22;Pr3ttyP3tal;he's here!
0:22;Bel Star;Woooooo 
0:24;EatPie882;@RKv5 when/if you go to your next version will it go straight to 6 or something like 5.1?
0:24;michael;:_sykLights::_sykLights::_sykLights::_sykLights::_sykLights:
0:24;Blackadot;:_sykLights: :_sykLights: 
0:25;Nevah Lucky;HES HERER
0:25;Jo De Lima;woooo
0:25;Stella;:_sykLights::_sykLights::_sykLights:
0:26;raiko ! psaikotic;:_sykLights:
0:26;itsMancer;Hi Sykkuno Hi Chat
0:26;Mintae;HEÅfS HERE :_sykHypers:
0:26;venushaze;:_sykLights::_sykLights:
0:27;Ethan Sarracino;he's here
0:28;shelbyleia;woo
0:28;Strawbawie;pog
0:28;CaroMadero16;:_sykLights::_sykLights::_sykLights::_sykLights:
0:29;AGM;:_sykLights::_sykLights::_sykLights::_sykLights::_sykLights:
0:29;Pr3ttyP3tal;:_sykWave::_sykWave::_sykWave:
0:29;Faisal Karimi;:o
0:30;Beanie;:_sykLights::_sykLights::_sykLights:
0:30;p0larBear;yayyyy
0:30;Bysune1;:_sykHypers::_sykHypers::_sykHypers:
0:31;ColoradoCactus;TIS TIME CHAT
0:32;TheeWick3D;pog
0:32;SweetxEnvy;:_sykLights::_sykLights::_sykLights:
0:32;Pr3ttyP3tal;hiii
0:33;EatPie882;Wooo!
0:33;Cocobean3060;Hi
0:34;Mudcrabes;:_sykLights::_sykLights::_sykLights::_sykLights:
0:34;Lihanna Ruiz;Hello
0:34;Alma;WOOOOOOOO
0:34;Loka;:_sykLights::_sykLights:
0:34;citta_bussymaki;pog
0:34;ÅEîíís ÅE;HII
0:35;M;Yay
0:35;B S;I hope he plays Only Up but on Mount Chilliad
0:35;KeeyVee; WOOOO HELLOOO
0:36;bleble;:_sykLights::_sykLights::_sykLights:
0:36;Tdich'ii'nii;:_sykLights::_sykLights::_sykLights::_sykLights:
0:36;Chungus Vibes;:_sykWave::_sykWavee:
0:36;Mintae;:_sykLights::_sykLights::_sykLights:
0:38;Bel Star;:_sykLights::_sykLights::_sykLights::_sykLights::_sykLights:
0:38;SweetxEnvy;:_sykWave:
0:38;KingZ;yo
0:38;Emily Reyes-Gonzalez;HIIIIIIII
0:39;Ta -;woooo
0:40;Norbert Einstein;yo
0:40;Arkane;:_sykWavee::_sykWavee::_sykWavee::_sykWavee:
0:40;Red: Subbing Everyone that subs to me!;I WISH AMONG US WOULD COME BACK 
0:41;KeeyVee;:_sykLights::_sykLights::_sykLights:
0:41;FoolofaTook;:_sykLights::_sykLights::_sykLights:
0:41;Manii;:_sykLights::_sykLights::_sykLights:
0:42;itsMancer;:_sykHypers::_sykHypers::_sykHypers::_sykHypers::_sykHypers::_sykHypers:
0:44;Bysune1;:_sykLights::_sykLights::_sykLights:
0:44;Devoid  ;:_sykLights::_sykLights::_sykLights:
