Time Stamp;Name;Message
0:22;macklin2001;macklin2001 subscribed with Prime. They've subscribed for 11 months! dsg
0:24;purehonest;yo
0:25;kzykzy0405;hi
0:36;rinshrimp;HELLO <3 DSG LETS GOOO
0:40;ainz_2;toastyDSG
0:40;ykarous;danse
0:41;kzykzy0405;5th
0:42;shrubzmcgee;LETS GO DSG
0:43;alondreey;wideVIBE
0:45;katsura161;yoooooooooo
0:46;mmu_rxia;toastyDSG
0:49;molgater;toastyDSG
0:49;loona_fps;eyooooo
0:49;mmxs02;DSG
0:50;mpbautista;ITZYYYYY
0:51;azuxeno;toastyDSG \
0:53;shinxchii;toastyDSG
0:54;aiddies;lebronJAM
0:54;hermitvtube;hiiiiiiiiiiiiiiiiiii
0:55;mmxs02;toastyDSG
0:55;dea300u;!patreon
0:55;macklin2001;AYAYA
0:55;streamelements;Support team DSG by subscribing to our Patreon! All proceeds go to the players and staff. Get access to DSG financials (we're losing money) as well as weekly parasocial updates from Toast himself. You can also subscribe for free to be part of the watch party chat that will be displayed on stream! || patreon.com/Disguised
0:56;unnessessary;W
0:56;iceecookiee;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
0:57;ykarous;ASSEMBLE
0:58;t2o_gaming;LETS GOOO
0:59;lahar67;toastyDSG
1:00;jeremiah___s;woo
1:01;lanaranara;Where is yay
1:01;shinobisho;toastyDSG
1:01;mooncafes;toastyDSG
1:02;dea300u;!patreon  
1:02;thatweirdfoxx;toastyDSG toastyDSG toastyDSG toastyDSG
1:04;thesaidai;toastyDSG toastyDSG toastyDSG toastyDSG
1:04;rinshrimp;toastyDSG
1:04;sellysr;sellySR subscribed with Prime. 
1:04;babo_nad;AYAYA
1:05;scientisttt117;toastyDSG PopCorn toastyREE1 toastyREE2 toastyREE3
1:06;wk05;toastyDSG
1:09;lilacescapist;toastyDSG toastyDSG toastyDSG
1:10;loona_fps;Dalla dalla
1:12;ssr2608;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
1:12;dewyyy;toastyDSG
1:13;lerve_a;tarikDance tarikDance tarikDance tarikDance
1:14;dea300u;!patreon
1:14;streamelements;Support team DSG by subscribing to our Patreon! All proceeds go to the players and staff. Get access to DSG financials (we're losing money) as well as weekly parasocial updates from Toast himself. You can also subscribe for free to be part of the watch party chat that will be displayed on stream! || patreon.com/Disguised
1:15;kuushoi;danse ayayaxdd
1:15;kairily;ITZY woo
1:16;stenets;Amogus Amogus
1:16;mpbautista;toastyDSG
1:17;loona_fps;itzyyyyy
1:18;mythicftw_gg;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
1:20;kairily;Letsgo toastyDSG
1:21;kyurramel;toastyDSG toastyDSG toastyDSG toastyDSG
1:21;43lenzo;By golly gee am I sure excited to watch this League of Legends match between Disguised and Evil Genius Challengers!!!
1:23;iihsej;ITZYYYYYYYY
1:24;7dreamz;toastyDSG  danse  toastyDSG
1:26;unnessessary;prayy toastyDSG prayy toastyDSG prayy toastyDSG prayy toastyDSG prayy toastyDSG prayy toastyDSG prayy toastyDSG prayy toastyDSG
1:26;daikonndesu;I LOVE MYSELFF
1:29;iigma_balis;LETSGO DSG
1:30;krvotv;Yayaya
1:30;mpbautista;DALLA DALLLA YEAH
1:31;dea300u;!patreon  
1:31;streamelements;Support team DSG by subscribing to our Patreon! All proceeds go to the players and staff. Get access to DSG financials (we're losing money) as well as weekly parasocial updates from Toast himself. You can also subscribe for free to be part of the watch party chat that will be displayed on stream! || patreon.com/Disguised
1:32;purehonest;Vibe
1:32;luxnz;DALLA DALLA
1:32;crextr;Kappa
1:36;mizzie99;toastyDSG toastyDSG toastyDSG
1:37;blooberri217;ITZY <#
1:39;archetype_n;toastyDSG toastyDSG toastyDSG
1:39;joel_mesloej;Let's goo DSG
1:41;loona_fps;toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG
1:41;xxastroblithexx;When does the stream usually start??
1:41;daikonndesu;DALLA DALLA YEAAAH
1:41;sammi1331;toastyDSG toastyDSG toastyDSG
1:42;kuushoi;IntothemotherlandtheGermanarmymarchComradesstandsidebysidetostoptheNazichargePanzersonRussiansoil2 IntotheAyayalandtheWeebsarmymarchComradesstandsidebysidetostoptheNormanschargeandNammers
1:44;eatzsnakz;toastyDSG toastyDSG
1:46;happyboringlife;toastyDSG toastyDSG toastyDSG
1:48;joel_mesloej;toastyDSG
1:50;mpbautista;CoolCat CoolCat
1:52;the_abrar_hasanat;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
1:52;tortkey;toastyDSG toastyDSG toastyDSG toastyDSG
1:54;tortkey;toastyDSG toastyDSG toastyDSG
1:55;seandels;seandels subscribed with Prime. They've subscribed for 5 months, currently on a 4 month streak! DSG STAYIN ON TOP
1:56;ducky_moe_;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
1:58;tortkey;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
1:58;infinity_01234;toastyDSG toastyDSG toastyDSG toastyDSG
1:58;candle1234zam;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:01;tortkey;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:02;lerve_a;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:04;siryeeticusiii;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:06;tortkey;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
