Time Stamp;Name;Message
-0:12;gianna;chat looks so pretty aaa
-0:12;DarkkRosez;ALMOSTTTT
-0:11;FernxndoV;woooooooo
-0:11;Callofduty fan;steady
-0:10;Gian S A;Hype!
-0:09;Braelynn Warnack;:red_heart::red_heart:
-0:09;Mr.Xunomei;Hmm mine is not active
-0:09;Eveliina Asuinmaa;valkylatee
-0:08;jaasar;modCheck:_raeHoodie:
-0:08;Michaelp496;hey all hope everyone's doing well
-0:08;FiFi Yas;POG10
-0:07;Cameron Mason;@Sacha prob a youtube thing sadge
-0:07;Sebass;:_raeHoodie::_raeHoodie:
-0:07;Besian Gashi;oiuu
-0:07;Sim;Johnnnnn with gifted
-0:07;LordSoulMoon;Hi
-0:05;A M Y;Wooooo
-0:05;TenZero;is there a way to see total members ? :o 
-0:05;Timtakdoh;pog gifts
-0:05;ASTAR;:_raeCoffee:
-0:05;David G;:_raeGift:
-0:05;Erin W;:_raeHype::_raeHype::_raeHype::_raeHype:
-0:04;Cup Of Laughter;I want to play this but my PC is acting up dam
-0:03;Reid lollop;:_raeHoodie:
-0:03;Loyd Hermoso;so many greens
-0:03;Saanchi Singhal;:_raeWave::_raeWave::_raeWave::_raeWave::_raeWave::_raeWave:
-0:02;Becca X_x;:_raeLove::_raeLove::_raeGift::_raeGift:
-0:02;Sussybaka11;How do I become a member itÅfs only letting me gift :loudly_crying_face:
-0:01;Average Enjoyer;Steadyyy
-0:00;markel;elloo
-0:00;Hazel;woo hoo
-0:00;Simply Sarai;itÅfs not a Valkyrae stream of rae isnÅft fashionably late :_raeCool:
0:07;Sara Kerr;bro
0:07;ohibree;:_raeHmm:
0:08;Nicole;hii
0:08;SullzOne aa;Lolllll thank u 
0:09;Reii;:_raePray::_raePray::_raePray:
0:09;TheGamer_MJ;Damn I canÅft join 
0:09;raya;hiii
0:09;GokuE;:_raePray::_raePray::_raePray::_raePray::_raePray:
0:11;AssassInVeNom;:trophy-yellow-smiling::trophy-yellow-smiling::trophy-yellow-smiling::trophy-yellow-smiling:
0:11;Thomas J;omg so late!
0:11;Wolfie;checking to see if my badge is still 24 months :beaming_face_with_smiling_eyes:
0:12;Asoona;oh...
0:12;roxy;pog gifters
0:14;King Tosanator;@Jj82op ty
0:14;GokuE;:_raeDerp:
0:14;SH1N1NG SAF;we love the ppl who gift
0:15;Besian Gashi;so many gifteddd
0:15;Average Enjoyer;Hold 
0:15;Vickyy;:_raeSweat::_raeSweat:
0:16;Derukira;@Sussybaka11 join channel
0:17;fitzfizzy;holdddddd
0:17;Cameron Mason;Pog
0:17;comficool;AAAA
0:18;JustAimee;pog
0:18;Hadees;:_raeWoo: 
0:18;Mallarduck;Jammies 
0:18;Abbi;steadyyyy
0:19;NomzNomz;Poggers!!!
0:19;Guilhe L S;Thanks for the gifted :_raeLove:
0:19;That_One _Time;:_raeCoffee: 
0:19;Asoona;steady!!
0:20;Luis Castillo;WOOOOOOO
0:20;kisu;helloooo
0:21;Mr.Xunomei;that's crazy
0:21;ohibree;:_raeCoffee: IM HOLSINGG
0:21;SH1N1NG SAF;OMG
0:21;zacph;WELCOME TO SUNRAEESSS
0:22;fitzfizzy;Pog live
0:23;Ven Kristel Apolinario;GOOD MORNIIING
0:23;holeandry;steadyyy
0:23;kelsey;HIHIHIHI
0:23;markel;Pog
0:23;dan grunz;:_raeHype::_raeHype::_raeHype:
0:24;Andre Tadulan;Its starting
0:24;Sim;Rosssss
0:24;Andrea Gil;steadyyyy
0:24;PEGASUS;hihi
0:24;beekae;!join
0:24;Michelle;been having a crap day so i'm excited to watch stream w chat :)))
0:24;Almedith Anne M. Cabilao;yeey. im a member now. woohooo
0:25;whatthewilly;wooooooooooooooo
0:25;Braelynn Warnack;dang
0:25;MayJay 04;POGGERRRSS
0:26;Qkmovezz;Ew who tf says poggers 
0:26;Anakis;Pog live
0:26;Red_teddy;:body-blue-raised-arms:
0:26;NomzNomz;Yeyyayayay
0:27;Asoona;:_raeGift::_raeGift::_raeGift:
0:27;Bowbatee;YAAAY
0:27;comficool;Pog 
0:27;SH1N1NG SAF;:_raeHype:
0:27;Nathandaisuki;VALKYLATE:_raeHype::_raeWave:
0:27;Ryo;Pog live
0:27;Yeeleng Vang;:_raeStab::_raeStab::_raeStab::_raeStab:
0:28;Abbi;Yayayaya
0:28;Kentaromartz;pog
0:28;chiki4fun;WOO
0:28;Ana;pog
0:28;beekae;!discord
0:28;Chen Chen;Pog
0:28;Pine cone;spam poggers
0:28;MayJay 04;POGGIE WOGGIESSS
0:29;dfloriza;:_raeHype::_raeHype::_raeHype:
0:29;Vhinzy..;:_raeHype::_raeHype::_raeHype::_raeHype:
0:29;FernxndoV;HOLD'
0:29;Ralph Isas;POG
0:29;SP360e;wooooooo
0:30;Crafty Gigi;Hiii chat!
0:30;Abby Blackshire;:_raeHype::_raeHype::_raeHype:
0:30;jaasar;Valkylate HELLOO
0:30;Guillermo Reyes;:_raeHoodie:Hello 
0:31;Nikki S.;AYEEEE
0:31;Callofduty fan;wooo
0:31;Abbi;RAEEEEEEE
0:31;Jeremy Brickhouse;pog
0:32;Foo205 F;Hiiii
0:32;whatthewilly;:_raeWoo:wooooooooooooooooooo
0:32;simon;hihihihihihihih8ho
0:33;Kaiden;HII RAEEE!!!:_raeWave::_raeWave::_raeWave:
0:33;Kyoshiiro;HELLOOOO
0:33;KitSkulladoor;pog
0:33;Alexandria Baltodano;:_raeLove::_raeLove::_raeLove::_raeLove:
0:33;Tetra Sky;soon!
0:34;Wolfyy;I have returned :D
0:34;Cameron Mason;@Sacha welp ill seeya at the end of the stream lol chat gonna be zooming
0:34;Latoya Monday;ayyy
0:34;GokuE;LetÅfs gooo 
0:34;Boombabaloomba;:_raeHype::_raeHype::_raeHype:
0:35;Loyd Hermoso;thanks for gifted
0:35;Valeria Martinez;poggg
0:35;jh THE BRICK MAN;:_raeSaiyan::_raeSaiyan::_raeSaiyan::_raeSaiyan::_raeSaiyan:
0:35;Priya;woo 5 gifted
0:35;Laith Shakir;woohoooo
0:35;Elohna B;Wwooooo
0:35;sweetheart;let's goooo
0:35;Nisatoshi;Pogggg
0:35;Severino;music scared me lol
0:36;Aprxm8GFX;:_raeWoo::_raeHype::_raeWoo::_raeHype::_raeWoo::_raeHype:
0:36;cozycilynda;YAY!
0:36;Daniel ;hii
0:36;aliyah;hiiii
0:36;Jenna Meowrie;:pride-heart-rainbow-philly::pride-heart-rainbow-philly::pride-heart-rainbow-philly:
0:36;SH1N1NG SAF;:_raeLove::_raeLove::_raeHype::_raeHype::_raeHype::_raeHype:
0:36;blurrybyrn;POG
0:36;Abena Agyei;Yayyyyyyyy!!!
0:37;comficool;AAAA HYPERS
0:37;pH7;Pog LIVE
0:37;Sara Kerr;dang i have to watch an ad
0:37;Fernando Cruz;Hi
0:37;Deja Hintzen;Pog
0:37;MayJay 04;:_raeWoo::_raeWoo::_raeWoo::_raeWoo::_raeWoo:
0:37;lola;YAYYYY
0:37;Lissy;Will we see the intro ever again
0:37;Hannah;:_raeWant:
0:37;Ven;Pog 
0:37;Lynn;hii
0:38;Stealthy Taters;LETSGO
0:38;Wyisse;HIII
0:38;Yakira;heloi
0:38;Mr.Xunomei;It's startin
0:38;Double K93;Hi chat you look beautiful today :slightly_smiling_face: 
0:38;bubbleteaaa;poggers
0:38;Eliza Jamie;:_raeHype::_raeHype::_raeHype::_raeHype:
0:38;Eli Davis;Hiii chat and rae
0:39;DracoWing;Jam time!
0:39;Besian Gashi;ross hit me up
0:39;Rhianna;Giftsss 
0:39;Waddles;LETSGO
0:39;ASTAR;:_raeWoo:
0:40;Abbi;ITS VALKYRAE TIMEEEEE
0:40;holeandry;HI RAEEE
0:40;Luis Castillo;Jammies Jammies
0:40;Breanna Watkins;:_raeWave::_raeHype::_raeWave:
0:40;chiE Lamperouge;STEAADDYYYY
0:41;LEE;:hand-pink-waving::hand-pink-waving::face-red-droopy-eyes:
0:41;Abby Blackshire;:_raeLove::_raeLove::_raeLove:
0:41;Cadence Salmon;Hey girl :_raeLove::_raeHype:
0:41;Elohna B;:_raeGift::_raeGift::_raeGift:
0:41;Carterozo;HI RAEEEEEE:_raeWave::_raeWave::_raeWave::_raeWave::_raeWave::_raeWave:
0:41;Jenn;Hi
0:41;Michelle;hiiiiiiiiiiii
0:42;Kentaromartz;:_raeMika::_raeMika::_raeMika:
0:42;pH7;SHES LIVE
0:42;Jaquala Lorraine;Hiiii Everyone
0:42;Callofduty fan;pog
0:42;Abena Agyei;Hi Rae!!!!!!
0:42;Wolfyy;Ello again everyone :_raeWave::_raeWave:
0:42;Arul;:_raeWave::_raeWave::_raeWave:
0:43;Amjad Kamel;finallyyyy
0:43;Vhinzy..;:_raeHype::_raeHype::_raeHype:
0:43;Guilhe L S;:_raeHype::_raeHype::_raeHype:
0:43;markel;Jammies
0:43;Taylor_ghxst;HIHIHI
0:43;Ven Kristel Apolinario;hiiii
0:43;NomzNomz;POGGERS!!!!:_raeWoo::_raeWoo::_raeWoo:
0:44;chiki4fun;Pog
0:44;Jasmine A.;LETS GOO
0:44;Roni Skillz;:_raeButt::_raeButt::_raeButt::_raeButt::_raeButt:
0:44;Abby Blackshire;:_raeLove::_raeLove::_raeLove::_raeLove:
0:45;woke.drew;:_raeHype: :_raeHype: :_raeHype: 
0:45;Michael Domeier;Hello
0:45;Cafe Bobba;Hii
0:45;Moira Reyes;steady :_raeHehe:
0:45;Braelynn Warnack;yayyyy
0:45;Prin Agacid;:_raeHype::_raeHype::_raeHype::_raeHype::_raeHype:
0:45;Lucy;is timeee
0:45;ZeldaStitch;:face-blue-smiling:
0:46;pomegrantea;:_raePotato::_raePotato::_raePotato::_raePotato::_raePotato:
0:46;Ralph Isas;SHES HERE
0:46;MrHeadCrazy;hiiii
0:46;Axel;!like
0:46;Sasha D;Hiii
0:46;Reii;:_raeHype::_raeHype::_raeHype:
0:46;Janet;:_raeWoo::_raeWoo::_raeWoo::_raeWoo::_raeWoo:
0:46;gianna;:_raeHype::_raeHype::_raeHype:
0:46;Mathew Dalton;pog
0:47;Persephone Morningstar;yoyoyo
0:47;yuktha;:3 hi chat first time catching a stream in awhile ! ^-^
0:47;Nathandaisuki;Wooooo
0:47;NomzNomz;:_raePika::_raePika::_raePika:
0:48;FiFi Yas;:_raeHype::_raeHype::_raeHype::_raeHype:
0:48;v;HHIIII CHATTTT IM SO EXCITED 
0:48;Marlise Katayama;woooooo
0:49;Salted Fish;heeeeeelllloooooo
0:49;ohibree;why does YouTube make ppl who sub still watch ads??
0:49;Red_teddy;yay
0:49;A M Y;Hiiiiii
0:50;reams;damn more gift
0:50;Yaritza;:_raeHype::_raeHype::_raeHype::_raeHype::_raeHype::_raeHype::_raeHype:
0:50;Ice king james;:_raeWave::_raeWave::_raeWave::_raeWave:
0:50;Prince Gurnani;anyone watched the one piece trailer
0:50;Samantha Solar;Hihihi 
0:50;Abby Blackshire;:_raeLove::_raeLove::_raeLove::_raeLove::_raeLove:
0:50;That one guy Cruz;valkylate :_raeSigh::_raeSigh::_raeSigh:
0:50;Wehttamman;Jammies
0:51;Jj82op;DinkDonk In Discord: Settings -> Connections -> Use YT account -> join the server DinkDonk
0:51;NomzNomz;:_raeWave::_raeWave::_raeWave:
0:51;Mama Monsterr;:_raeHype::_raeHehe::_raeHype::_raeHehe::_raeHype::_raeHehe:
0:51;dfloriza;JAMMIES
0:51;Chopper;hiiiii
0:51;Nicole;hiii
0:52;Sara Kerr;ok now we wait for 5 min
0:52;Angel Avilez;hi
0:52;Ahsan Akhlaq;OMG HI HI HI
0:52;steeltoe420;hello :hugging_face:
0:52;Valerie;Raeee
0:52;Felipe Rodriguez;Hihihihihi chat
0:52;Mole26;hi
0:53;Caitlin;hiiiiii hii
0:53;Peach;Evening Rae
0:53;Janet;:_raeHype::_raeHype::_raeHype::_raeHype::_raeHype::_raeHype:
0:54;Mortifane;Do I still have my membership :skull: 
0:54;Cynthia Arceo;Hi Hiii
0:54;babyvicious;okay I missed all the gifting yesterday :loudly_crying_face::loudly_crying_face::pensive_face: 
0:54;Tyler Holland; :_raeHype::_raeHype::_raeHype::_raeHype:
0:54;Marlise Katayama;hi chat :red_heart::red_heart::red_heart:
0:54;Jess;heloooo
0:55;That_One _Time;:_raeCoffee::_raeCoffee::_raeCoffee::_raeCoffee::_raeCoffee::_raeCoffee::_raeCoffee::_raeCoffee::_raeCoffee:
0:55;LittleDewdrop;Bop Bop Bop
0:55;jaasar;@Ross pog5
0:55;Hazel;vibe
0:55;Simply Sarai;ya like jazz? :_raeKEK:
0:55;maria park;heloooooo
0:56;Jeppiii;hiii
0:56;Mya Wynd;hi
0:56;777lumiere;Hiiiiiii
0:56;Nisatoshi;Wow so many members
0:57;gianna;hihi miss valkyrae
0:57;Kromy C;helloo
0:58;emma michelle;wooo
0:58;Marcos Ochoa;sup
0:58;goose;hi hiii
0:58;Mya_;Hoolddd
0:59;Dylan ko7;Pog 
0:59;Priya;thanks for the gift:_raeLove:
0:59;Becca X_x;all these emotes in chat are sooo cute!! 
0:59;Sacha;@Cameron Mason Leslie has loads of emotes that all work fine so maybe Rae just needs to enable some things lol I'm sure it will get sorted
0:59;Breanna Watkins;:_raeWave::_raeWave::_raeWave:
0:59;NomzNomz;:_raeHype::_raeHype::_raeHype::_raeHype:
0:59;bean_14;Ayeee prt 2 
0:59;halfrice;Helloooo!!!
1:00;Zachary Bennett;Love finishing work in time to catch a stream
1:00;TelDawn;:_raeWave::_raeWave::_raeWave::_raeWave:
1:00;ohibree;WAEEEE :_raeWant:
1:01;IMVEAH;:_raeWoo::_raeWoo:
1:01;Cupi-Catt;SHEEEEEEEEEEESH :_raeHoodie:
1:01;Kevin Dragneel;Man this will probably be one of the funniest streams ever lmao:loudly_crying_face::rolling_on_the_floor_laughing:
1:01;Chorva ;Hi chat
1:02;RICKY;she tweeted like 15 mins ago that she's life already
1:02;Jein;hiiiii
1:02;chiE Lamperouge;:_raeWant::_raeWant::_raeWant::_raeWant:
1:02;Eliza T;heyoooo
1:02;Joseph Clark;:_raeHehe::_raeHehe::_raeHehe::_raeHehe:
1:03;Braxlyn;hiiii
1:03;Becca X_x;:_raeHype::_raeHype::_raeHype::_raeHype:
1:03;Sacha;:_raeHype:
1:03;Cyysm;:_raeLove::_raeLove::_raeLove::_raeLove:
1:03;Crafty Gigi;.99 subs woohoo!! DonÅft forget to enable receiving gifted if you donÅft have one yet!
1:03;Stephanie Jordan;YASS
1:04;Reii;:_raeHype::_raeHype::_raeHype:
1:04;Cute teddy bear;WhatÅfs happening 
1:04;Yaritza;:_raeLove::_raeLove::_raeLove::_raeLove::_raeLove:
1:04;Angela Covarrubias;Hi rae :pride-flower-rainbow-heart:
1:04;Cova;OOOh
1:04;Love Duarte;morning yall
1:05;Dripa1n1;Hiiiiii
1:05;Quark;:_raeWant:
1:05;Salted Fish;:pride-heart-rainbow-philly:
1:05;Shane Lopez;Hiii
1:06;kisu;hiiiiiiiiiiiiii
1:06;Taif RM;Hihii
1:06;Clay Ben Treece Jr.;Hi Rae
1:07;Sara Kerr;@everyone heyyyy
1:07;Sacha;!stream
1:07;43n; hiii chat
1:07;Eliza Jamie;:_raeWave::_raeWave::_raeWave::_raeWave:
1:07;Saanchi Singhal;so cozyy
1:07;Taylor D;:_raeWoo::_raeWoo::_raeWoo::_raeWoo::_raeWoo:
1:07;artienda1025;hi hi hi
1:07;Jenna Meowrie;YAY!!!:_raeSquish::_raeSquish:
1:07;Astralrosez;Hi Rae hi chat!!!:_raeWave::_raeWave:
1:07;Nathandaisuki;Lick the Stream chat
1:08;LightningNick;hiiiiii
1:08;Crispy831;Hello chat
1:08;Moira Reyes;:_raeWow::_raeWow::_raeWow:
1:08;sammytwn;hi chat <33
1:08;Akrasia;hi hi
1:08;Kevsonthebus;:_raeWave::_raeWave:
1:09;NomzNomz;:_raeThink::_raeSquish:I 
1:09;Valerie;:_raeLove::_raeLove::_raeLove:
1:09;comficool;HYPERPOGGER 
1:09;Besian Gashi;GO BRRR
1:10;Andrew Ang;:hand-pink-waving::hand-pink-waving::hand-pink-waving:
1:10;cali ocampo;pianoTime
1:10;FernxndoV;:pride-heart-rainbow-philly: :pride-heart-rainbow-philly: :pride-heart-rainbow-philly: 
1:10;Jay Floofer;:_raeWoo::_raeWoo::_raeWoo::_raeWoo::_raeWoo:
1:10;Nayeli Cerrillo;:pride-heart-rainbow-philly:
1:10;v;aww my gifted member expired :( 
1:11;Sydney;:_raeHype::_raeHype::_raeHype::_raeHype:
1:11;Nixagon;:_raeHype::_raeHype::_raeHype:
1:12;jkca;hiiiiiii
1:12;Veronica;hiiiiiiiiiiiiiii
1:12;Reii;:_raeHype::_raeHype::_raeHype:
1:12;Loyd Hermoso;hii
1:13;Josiah P;:_raeWave::_raeWave::_raeWave::_raeWave::_raeWave::_raeWave::_raeWave::_raeWave::_raeWave::_raeWave::_raeWave:
1:13;Talal Janahi;Hiiii
1:13;froggy;hiiii
1:13;Breaking Bad;I donÅft mind waiting 
1:14;Taylor D;:_raeHype::_raeHype::_raeHype::_raeHype::_raeHype::_raeHype:
1:14;evilrem512;hi hi 
1:14;NomzNomz;ITS STARTIN
1:14;Marcos Ochoa;:smiling_face_with_halo:
1:14;Braelynn Warnack;hi hi
1:14;Darragh Lynch;:person-turqouise-waving::person-turqouise-waving::person-turqouise-waving:
1:15;CgINC;Fortnite??????
1:16;Crispy831;Hi rae 
1:16;Sizzyedia;:_raeLove::_raeLove::_raeLove:
1:16;n1njasause;late
1:16;Kromy C;:_raeSalute:
1:17;Cyysm;:_raeWave::_raeWave::_raeWave::_raeWave::_raeWave:
1:17;pinkittysparkle;:_raeWoo::_raeWoo::_raeWoo::_raeWoo::_raeWoo:
1:17;Clay Ben Treece Jr.;!hug
1:18;BiancaKrystal0;this is so cute
1:18;romi;omg omg omg
1:18;Janet;:_raeHype::_raeHype::_raeHype::_raeHype::_raeHype::_raeHype:
1:18;Chopper;yippiiiie
1:19;Tankuu;hiii rae and chat!!!
1:19;romi;omg
1:19;alongthewu;Hiii
1:19;Jenna Meowrie;!like
1:19;kisu;W stream
1:19;Taylor D;:_raeWant::_raeWant::_raeWant::_raeWant::_raeWant::_raeWant:
1:19;Ven Kristel Apolinario;morning chaaaat!
1:20;NomzNomz;VALKYlate lol
1:20;thejacky564;Hi chat
1:20;Hi Bye;hiiii Rae hope you have a great stream!!!
1:21;Roni Skillz;:_raeCool:
1:21;Yaritza;:_raeGift::_raeGift::_raeGift::_raeGift::_raeGift::_raeGift:
1:21;Rollo;ola 
1:22;woke.drew;@ohibree should just be ad at start not really during stream at least rarely
1:22;cali ocampo;MmmHmm
1:22;blurrybyrn;hii raee :_raeWave::_raeWave:
1:22;Heatherfae;hi chat!!
1:23;Cameron Mason;@Sacha yeah thats what Im thinking too 
1:23;mossfrog;heyyy
1:23;comficool;hihihi everybody!!!!
1:23;Hazietales;Hiii
1:24;Izaq;hiiii
1:24;Pg1300;hi
1:25;Guilhe L S;:_raeCute::_raeCute:
1:25;maria park;:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
1:26;Vhinzy..;:_raeHype::_raeHype::_raeHype:
1:26;Esther;hiiiiii
1:26;bUrningTurtle27;Hellloooo hope everyone's doing so well on this wonderful dayyy:face-green-smiling:
1:26;Capri;:_raeHype::_raeHype::_raeHype:
1:27;Priya;:_raeHype::_raeHype:
1:27;woke.drew;:_raeWoo: :_raeWoo: :_raeWoo: 
1:27;Carlos Dominguez;hiiii:_raeSquish:
1:27;Leahh H;Starting screen is so cute!
1:27;Leoceti;hii
1:27;Gabrielli Ambrozio;:_raeHoodie::_raeHoodie::_raeHoodie::_raeHoodie:
1:28;romi;:_raeCoffee::_raeCoffee::_raeCoffee::_raeCoffee::_raeCoffee:
1:28;Mr.Xunomei;!ayaya
1:28;Asoona;Danse
1:28;pinkittysparkle;:_raeWave::_raeWave::_raeWave::_raeWave::_raeWave::_raeWave:
1:28;Msra34 Amar5656;weeeee
1:29;michelle;:_raeHype:
1:29;Astro Paragon;:_raeWant::_raeWant:
1:29;babyvicious;WhoÅfs gonna start the gift sub train today ? :loudly_crying_face::face_with_tears_of_joy:
1:29;karlnotfound;WWOOOOOOOOOO
1:29;NomzNomz;:_raeHehe::_raeHehe::_raeHehe:
1:29;Alexandria Baltodano;hi hi sunraes :_raeLove:
1:30;TheCjsand;:_rae100T::_rae100T::_rae100T::_rae100T::_rae100T::_rae100T:
1:30;Yugix H;Hiiii
1:30;Aj 23;I WAS listening to blackpink and the intro came on , i was like huh
1:31;bean_14;:_rae100T::_rae100T::_rae100T::_rae100T::_rae100T:
1:32;jaasar;well well well.. Helloooo
1:32;romi;:_raeWow::_raeWow::_raeWow:
1:32;Breanna Watkins;HI RAE
1:32;Alex vivianaz220;HYPERPOGGER
1:32;Hadria;Hi!
1:32;mercurial;@DracoWing thank god it's not gta times tho KEKW
1:32;Marian;WOOO HI CHAT
1:32;Ben;hi
1:33;Bailey Maya;hiiii
1:33;ohibree;chat goes so fast omggg :_raeWut:
1:34;Latoya Monday;hiiii
1:34;alecs;hihihihi
1:34;NomzNomz;Hiiiiiiiiiii
1:34;Besian Gashi;1am heree au au auuuu
1:34;Cameron Mason;:_raeHype::_raeHype::_raeHype::_raeHype:
1:34;Lissy;Gotta go sleep, 1 am lol, see ya vod squad
1:35;Asoona;jammies
1:35;vsuo;:D 
1:36;Well boss; SPEED MET RONALDO LESS GOOO
1:36;Lzorel;Hii
1:36;Josiah P;raeeee
1:36;JLore;POGGIES Stream Started
1:37;DaleExe;LIVE Pog 
1:37;gianna;:_raeHype::_raeHype:
1:37;LittleDewdrop;bop bop
1:38;Veronica;:_raeSalute::_raeSalute::_raeGun::_raeGun::_raeGun::_raeGun:
1:39;Alfred Western;jazzzzzzzzzzzz
1:39;Taif RM;:_raeHype::_raeHype::_raeHype::_raeHype::_raeHype::_raeHype:
1:39;Psych;Wooooo
1:40;Risa J;woo!! thank ypu for the gifted
1:40;Simply Sarai;i could probably go grocery shopping and come back and rae is still late 
1:40;LaqSmith ShuttlesWorth;All The New Subs 
1:40;mochi;henlo
1:40;Jenna Meowrie;"BE GOOD TODAY CHAT :"")"
1:42;Erin W;:_raeHype::_raeHype::_raeHype::_raeHype:
1:42;bean_14;:_raeSalute::_raeSalute::_raeSalute::_raeSalute::_raeSalute::_raeSalute:
1:42;emma michelle;hii
1:43;NomzNomz;:_raeSquish::_raeSquish::_raeSquish:
1:44;TheCjsand;:_rae100T::_rae100T::_rae100T::_rae100T::_rae100T::_rae100T::_rae100T:
1:44;SH1N1NG SAF;RAEEE:_raeGift:
1:44;ReviZion;aloha everyone
1:44;Yaritza;:_raeMika::_raeMika::_raeMika:
1:44;gianna;fast chat fast fast fast
1:45;Mr.Xunomei;!petmika
1:45;Brbara Beln Regis;hiii:_raeSquish:
1:45;Prin Agacid;:_raeWave::_raeWave::_raeWave:
1:45;Derukira;mods do we have command for truffle
1:45;Reii;:_raeWant::_raeWant::_raeWant:
1:46;Ryo;:_raeHype::_raeHype::_raeHype:
1:46;ASTAR;:_raeLurk:
1:46;plutovicky;afternoon :_raeSalute::_raeSalute::_raeSalute::_raeSalute:
1:46;Eddie Leon;:_raeGift::_raeGift::_raeGift::_raeGift::_raeGift:
1:46;ZippoMan;:_raeSmart::_raeSmart::_raeSmart:
1:46;Jj82op;Jammies Jammies
1:48;Mama Monsterr;:_raeSquish::_raeSquish::_raeSquish::_raeSquish::_raeSquish:
1:48;Guilhe L S;:_raeWave::_raeWave:
1:48;JLore;:_raeHoodie:
1:48;Leow1n;:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:
1:49;Jose Alfaro;hi mommy rae D:
